Day,Start Hour,Impressions
Sunday,12 AM,550
Sunday,1 AM,309
Sunday,2 AM,233
Sunday,3 AM,164
Sunday,4 AM,168
Sunday,5 AM,140
Sunday,6 AM,194
Sunday,7 AM,561
Sunday,8 AM,"1,165"
Sunday,9 AM,"1,815"
Sunday,10 AM,"2,600"
Sunday,11 AM,"1,846"
Sunday,12 PM,"1,648"
Sunday,1 PM,"1,612"
Sunday,2 PM,"2,467"
Sunday,3 PM,"5,168"
Sunday,4 PM,"3,729"
Sunday,5 PM,"2,563"
Sunday,6 PM,"2,629"
Sunday,7 PM,"2,468"
Sunday,8 PM,"2,141"
Sunday,9 PM,"1,757"
Sunday,10 PM,"1,270"
Sunday,11 PM,797
Monday,12 AM,996
Monday,1 AM,597
Monday,2 AM,359
Monday,3 AM,109
Monday,4 AM,143
Monday,5 AM,183
Monday,6 AM,315
Monday,7 AM,428
Monday,8 AM,961
Monday,9 AM,"1,514"
Monday,10 AM,"1,673"
Monday,11 AM,"1,847"
Monday,12 PM,"1,870"
Monday,1 PM,"2,351"
Monday,2 PM,"4,088"
Monday,3 PM,"2,844"
Monday,4 PM,"2,178"
Monday,5 PM,"2,989"
Monday,6 PM,"3,390"
Monday,7 PM,"2,846"
Monday,8 PM,"2,988"
Monday,9 PM,"3,361"
Monday,10 PM,"3,650"
Monday,11 PM,"2,343"
Tuesday,12 AM,945
Tuesday,1 AM,605
Tuesday,2 AM,287
Tuesday,3 AM,181
Tuesday,4 AM,123
Tuesday,5 AM,142
Tuesday,6 AM,313
Tuesday,7 AM,695
Tuesday,8 AM,"1,135"
Tuesday,9 AM,"1,716"
Tuesday,10 AM,"2,393"
Tuesday,11 AM,"2,245"
Tuesday,12 PM,"2,433"
Tuesday,1 PM,"3,219"
Tuesday,2 PM,"3,368"
Tuesday,3 PM,"3,468"
Tuesday,4 PM,"5,478"
Tuesday,5 PM,"5,910"
Tuesday,6 PM,"3,522"
Tuesday,7 PM,"2,212"
Tuesday,8 PM,"2,311"
Tuesday,9 PM,"2,711"
Tuesday,10 PM,"3,081"
Tuesday,11 PM,"1,059"
Wednesday,12 AM,644
Wednesday,1 AM,334
Wednesday,2 AM,134
Wednesday,3 AM,75
Wednesday,4 AM,60
Wednesday,5 AM,86
Wednesday,6 AM,445
Wednesday,7 AM,746
Wednesday,8 AM,"3,506"
Wednesday,9 AM,"4,554"
Wednesday,10 AM,"5,349"
Wednesday,11 AM,"8,762"
Wednesday,12 PM,"8,631"
Wednesday,1 PM,"6,647"
Wednesday,2 PM,"7,265"
Wednesday,3 PM,"3,352"
Wednesday,4 PM,"2,883"
Wednesday,5 PM,"3,555"
Wednesday,6 PM,"2,399"
Wednesday,7 PM,"2,350"
Wednesday,8 PM,"2,649"
Wednesday,9 PM,"2,673"
Wednesday,10 PM,"2,565"
Wednesday,11 PM,"2,202"
Thursday,12 AM,"1,065"
Thursday,1 AM,535
Thursday,2 AM,272
Thursday,3 AM,251
Thursday,4 AM,339
Thursday,5 AM,293
Thursday,6 AM,328
Thursday,7 AM,867
Thursday,8 AM,803
Thursday,9 AM,"1,370"
Thursday,10 AM,"2,350"
Thursday,11 AM,"2,524"
Thursday,12 PM,"2,425"
Thursday,1 PM,"2,649"
Thursday,2 PM,"4,437"
Thursday,3 PM,"2,698"
Thursday,4 PM,"1,436"
Thursday,5 PM,"1,446"
Thursday,6 PM,"1,669"
Thursday,7 PM,"1,941"
Thursday,8 PM,"1,881"
Thursday,9 PM,"1,987"
Thursday,10 PM,"1,609"
Thursday,11 PM,"1,126"
Friday,12 AM,476
Friday,1 AM,164
Friday,2 AM,140
Friday,3 AM,61
Friday,4 AM,49
Friday,5 AM,45
Friday,6 AM,192
Friday,7 AM,767
Friday,8 AM,"1,255"
Friday,9 AM,"1,554"
Friday,10 AM,"2,370"
Friday,11 AM,"2,088"
Friday,12 PM,"2,495"
Friday,1 PM,"2,487"
Friday,2 PM,"2,762"
Friday,3 PM,"2,581"
Friday,4 PM,"1,233"
Friday,5 PM,"1,389"
Friday,6 PM,"2,210"
Friday,7 PM,"2,489"
Friday,8 PM,"1,476"
Friday,9 PM,"1,633"
Friday,10 PM,"1,383"
Friday,11 PM,"1,315"
Saturday,12 AM,951
Saturday,1 AM,297
Saturday,2 AM,161
Saturday,3 AM,99
Saturday,4 AM,93
Saturday,5 AM,165
Saturday,6 AM,200
Saturday,7 AM,288
Saturday,8 AM,591
Saturday,9 AM,913
Saturday,10 AM,"1,668"
Saturday,11 AM,"2,366"
Saturday,12 PM,"1,946"
Saturday,1 PM,"1,699"
Saturday,2 PM,"2,270"
Saturday,3 PM,"3,892"
Saturday,4 PM,"2,966"
Saturday,5 PM,"1,711"
Saturday,6 PM,"1,367"
Saturday,7 PM,"1,180"
Saturday,8 PM,"1,479"
Saturday,9 PM,"1,973"
Saturday,10 PM,"1,487"
Saturday,11 PM,"1,092"
