Week,Clicks,Impressions,Avg. CPC,Cost,Conv. value,Conversions
"Week of May 13, 2024",170,"1,378",NOK10.28,"NOK1,748.30","18,483.00",15.00
"Week of May 20, 2024","1,314","9,790",NOK20.04,"NOK26,331.75","81,043.39",75.37
"Week of May 27, 2024","1,726","31,056",NOK25.32,"NOK43,703.61","119,280.13",81.11
"Week of Jun 3, 2024","1,804","62,565",NOK33.19,"NOK59,866.87","235,484.46",157.39
"Week of Jun 10, 2024","1,409","10,462",NOK54.40,"NOK76,654.10","261,638.93",175.31
"Week of Jun 17, 2024","1,724","15,433",NOK62.38,"NOK107,536.69","348,135.68",232.37
"Week of Jun 24, 2024","2,343","107,876",NOK40.57,"NOK95,066.69","282,951.21",189.40
"Week of Jul 1, 2024","1,187","10,571",NOK53.25,"NOK63,207.91","182,543.69",124.20
"Week of Jul 8, 2024","1,054","10,545",NOK53.92,"NOK56,833.93","160,543.21",113.94
"Week of Jul 15, 2024",790,"8,994",NOK34.63,"NOK27,360.88","78,217.78",55.48
"Week of Jul 22, 2024",799,"8,393",NOK32.90,"NOK26,290.66","68,287.75",46.24
"Week of Jul 29, 2024",612,"7,508",NOK29.95,"NOK18,328.03","39,623.99",27.77
"Week of Aug 5, 2024",416,"6,170",NOK32.38,"NOK13,468.51","29,048.05",19.39
"Week of Aug 12, 2024",232,"3,750",NOK36.80,"NOK8,536.53","2,980.00",2.00
"Week of Aug 19, 2024",99,"2,686",NOK26.75,"NOK2,648.47",0.00,0.00
"Week of Aug 26, 2024",0,0,NOK0.00,NOK0.00,0.00,0.00
"Week of Sep 2, 2024",0,0,NOK0.00,NOK0.00,0.00,0.00
"Week of Sep 9, 2024",0,0,NOK0.00,NOK0.00,0.00,0.00
"Week of Sep 16, 2024",0,0,NOK0.00,NOK0.00,0.00,0.00
"Week of Sep 23, 2024",0,0,NOK0.00,NOK0.00,0.00,0.00
"Week of Sep 30, 2024",0,0,NOK0.00,NOK0.00,0.00,0.00
"Week of Oct 7, 2024",0,0,NOK0.00,NOK0.00,0.00,0.00
"Week of Oct 14, 2024",0,0,NOK0.00,NOK0.00,0.00,0.00
"Week of Oct 21, 2024",0,0,NOK0.00,NOK0.00,0.00,0.00
"Week of Oct 28, 2024",0,0,NOK0.00,NOK0.00,0.00,0.00
"Week of Nov 4, 2024",0,0,NOK0.00,NOK0.00,0.00,0.00
"Week of Nov 11, 2024",0,0,NOK0.00,NOK0.00,0.00,0.00
"Week of Nov 18, 2024",0,0,NOK0.00,NOK0.00,0.00,0.00
"Week of Nov 25, 2024",0,0,NOK0.00,NOK0.00,0.00,0.00
"Week of Dec 2, 2024",0,0,NOK0.00,NOK0.00,0.00,0.00
"Week of Dec 9, 2024",0,0,NOK0.00,NOK0.00,0.00,0.00
"Week of Dec 16, 2024",0,0,NOK0.00,NOK0.00,0.00,0.00
"Week of Dec 23, 2024",0,0,NOK0.00,NOK0.00,0.00,0.00
"Week of Dec 30, 2024",0,0,NOK0.00,NOK0.00,0.00,0.00
"Week of Jan 6, 2025",0,0,NOK0.00,NOK0.00,0.00,0.00
"Week of Jan 13, 2025",0,0,NOK0.00,NOK0.00,0.00,0.00
"Week of Jan 20, 2025",103,"1,258",NOK9.78,"NOK1,007.06",0.00,0.00
"Week of Jan 27, 2025",104,"1,129",NOK9.48,NOK986.04,0.00,0.00
"Week of Feb 3, 2025",75,837,NOK9.79,NOK734.27,0.00,0.00
"Week of Feb 10, 2025",94,937,NOK9.67,NOK909.43,0.00,0.00
"Week of Feb 17, 2025",150,"1,422",NOK9.64,"NOK1,445.72",0.00,0.00
"Week of Feb 24, 2025",52,444,NOK9.69,NOK504.11,0.00,0.00
